Hour number,Solar,Wind,SolarTracking
0,0.513149999,0,0
1,0.321174817,0,0
2,0.185530093,0,0
3,0.112243912,0,0
4,0.070478537,0.003685531,0.003677459
5,0.037011618,0.125186034,0.145764191
6,0,0.329812467,0.446412659
7,0.099857445,0.531442081,0.641045684
8,0.200441408,0.67931726,0.731662712
9,0.275806749,0.770898483,0.780184669
10,0.246620293,0.814400546,0.817451249
11,0.226541948,0.769652,0.816991941
12,0.244258883,0.702079773,0.857256657
13,0.258423201,0.540877432,0.84978446
14,0.31141812,0.307846035,0.781122859
15,0.465946577,0.163434885,0.31357467
16,0.573663377,0.019539516,0
17,0.757149761,0,0
18,0.844007232,0,0
19,0.839389905,0,0
20,0.794029415,0,0
21,0.668069772,0,0
22,0.40451909,0,0
23,0.198639131,0,0
24,0.075043081,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0.003480967,0.003473746
29,0,0.121026208,0.138003171
30,0,0.328552778,0.441963418
31,0,0.519489291,0.615587676
32,0.04123276,0.676043554,0.728434909
33,0.128099711,0.766757953,0.776172113
34,0.151682455,0.713569189,0.715358463
35,0.158034178,0.719894952,0.757240843
36,0.153204496,0.664640048,0.806851123
37,0.139394343,0.51824766,0.812630506
38,0.121731531,0.313789892,0.7856957
39,0.117071959,0.130566134,0.301131161
40,0.108430534,0.01972862,0
41,0.23731235,0,0
42,0.675825528,0,0
43,0.829639302,0,0
44,0.743826006,0,0
45,0.536400634,0,0
46,0.270222347,0,0
47,0.09900581,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0.028336729,0.002880951,0.002875305
53,0.0390317,0.117517723,0.130546525
54,0.071658151,0.309560042,0.393256349
55,0.394353447,0.437101078,0.474200355
56,0.69055367,0.674121205,0.726582303
57,0.708432635,0.761268244,0.77049706
58,0.652063155,0.806913236,0.809578993
59,0.601774083,0.769287398,0.815044501
60,0.563653404,0.677990221,0.82450681
61,0.492124139,0.553701605,0.865353661
62,0.501184419,0.340363088,0.833988571
63,0.463591214,0.132479261,0.308036507
64,0.403546515,0.021652006,0
65,0.437442721,0,0
66,0.391887981,0,0
67,0.382176866,0,0
68,0.446165932,0,0
69,0.48912919,0,0
70,0.502644017,0,0
71,0.773116307,0,0
72,0.925556707,0,0
73,0.900606105,0,0
74,0.664658739,0,0
75,0.271597487,0,0
76,0.11426888,0.00227752,0.002273298
77,0.032156886,0.098512511,0.092113351
78,0.035177444,0.27162845,0.306606313
79,0.273311255,0.43398494,0.469858381
80,0.72266996,0.565117544,0.585339454
81,0.845380682,0.708091133,0.715287722
82,0.898555992,0.777396305,0.779504008
83,0.915948969,0.757474524,0.799457769
84,0.920627673,0.668202694,0.807820466
85,0.903373557,0.506701097,0.788334806
86,0.892738909,0.364913261,0.879436858
87,0.908484338,0.152437062,0.327814795
88,0.843517602,0.02081907,0
89,0.803598113,0,0
90,0.80217412,0,0
91,0.785944627,0,0
92,0.712543626,0,0
93,0.626498959,0,0
94,0.492930035,0,0
95,0.362299445,0,0
96,0.251600204,0,0
97,0.1650404,0,0
98,0.134446675,0,0
99,0.126226273,0,0
100,0.101198709,0.002804717,0.0027998
101,0.071190295,0.120524861,0.140268534
102,0.185363522,0.331888779,0.457603979
103,0.36017326,0.532910916,0.644385099
104,0.467316302,0.689240439,0.745606315
105,0.514499292,0.786384199,0.797128774
106,0.539097562,0.822419807,0.824954574
107,0.560960307,0.797814902,0.845772908
108,0.582705203,0.713722108,0.867518953
109,0.60026877,0.563559011,0.876068504
110,0.610164897,0.363775044,0.867517941
111,0.655717512,0.169315628,0.332190252
112,0.666799174,0.024474032,0
113,0.833565286,0,0
114,0.886747351,0,0
115,0.86631366,0,0
116,0.802547168,0,0
117,0.687498758,0,0
118,0.416938194,0,0
119,0.260284137,0,0
120,0.172174609,0,0
121,0.121902107,0,0
122,0.067602456,0,0
123,0,0,0
124,0,0.002461073,0.002456993
125,0,0.109811133,0.11515473
126,0,0.303179839,0.382464026
127,0.059202085,0.393942421,0.410322384
128,0.27220019,0.601809328,0.633656022
129,0.48209395,0.774635156,0.785092195
130,0.418854418,0.815192505,0.817561952
131,0.405755253,0.778676727,0.823705624
132,0.357192412,0.667257482,0.804158224
133,0.307773534,0.49267869,0.752531404
134,0.270930911,0.361563257,0.858075857
135,0.225674334,0.17234709,0.337767223
136,0.136740122,0.02557398,0
137,0.16146599,0,0
138,0.303569344,0,0
139,0.468740252,0,0
140,0.479977464,0,0
141,0.320996517,0,0
142,0.112497038,0,0
143,0,0,0
144,0,0,0
145,0.050436464,0,0
146,0.099360996,0,0
147,0.13693795,0,0
148,0.14007794,0.001795698,0.001792885
149,0.147199917,0.078654464,0.073791576
150,0.165278592,0.257016502,0.277419505
151,0.46368446,0.496655356,0.577114008
152,0.639102269,0.671271501,0.724918683
153,0.663921642,0.782528907,0.793761142
154,0.565818783,0.827899452,0.830256158
155,0.547093794,0.805532975,0.853134288
156,0.456310415,0.724794813,0.87763436
157,0.356264319,0.559889622,0.864931693
158,0.281865705,0.32322408,0.792627282
159,0.221698619,0.121477057,0.302049667
160,0.209139893,0.022202303,0
161,0.286908463,0,0
162,0.456646969,0,0
163,0.546969142,0,0
164,0.557780298,0,0
165,0.476871006,0,0
166,0.411968077,0,0
167,0.252674019,0,0
168,0.150612532,0,0
169,0.114018281,0,0
170,0.101796507,0,0
171,0.103406626,0,0
172,0.104811693,0.001867978,0.001865214
173,0.083103735,0.08281428,0.077783585
174,0.069960085,0.25185693,0.27086575
175,0.291784869,0.530368278,0.646522379
176,0.576595364,0.683287479,0.740620279
177,0.704755765,0.78504438,0.796675618
178,0.738647532,0.819435449,0.821616896
179,0.705747785,0.803489617,0.85040015
180,0.573921127,0.720043813,0.871173195
181,0.453764485,0.574119733,0.882100717
182,0.38629031,0.377347861,0.876759545
183,0.382099807,0.177468555,0.349377014
184,0.392031003,0.027120538,0
185,0.618411029,0,0
186,0.852154073,0,0
187,0.883365464,0,0
188,0.865096898,0,0
189,0.800583855,0,0
190,0.696316838,0,0
191,0.487374961,0,0
192,0.326604953,0,0
193,0.234593204,0,0
194,0.146988321,0,0
195,0.111674733,0,0
196,0.082040927,0.001887248,0.001884611
197,0.052753427,0.091645326,0.086174459
198,0.043874218,0.309885317,0.40692464
199,0.267971863,0.537663123,0.662620486
200,0.661979031,0.694960182,0.755962508
201,0.755561228,0.795037157,0.80734789
202,0.731423847,0.834388155,0.836553305
203,0.707988861,0.815619184,0.862929875
204,0.68966997,0.735305998,0.888534564
205,0.607018209,0.59198982,0.905060678
206,0.528536046,0.391475345,0.898212233
207,0.462969117,0.181314054,0.357462997
208,0.346493597,0.027980384,0
209,0.541713293,0,0
210,0.828416181,0,0
211,0.887630711,0,0
212,0.820240767,0,0
213,0.566743552,0,0
214,0.328225086,0,0
215,0.139568587,0,0
216,0.073696232,0,0
217,0.061223111,0,0
218,0.072442385,0,0
219,0.107228219,0,0
220,0.130217099,0.001770084,0.001767749
221,0.142876672,0.097646442,0.092954227
222,0.149059505,0.31042598,0.408966265
